iter	MultiClass
0	0.6885701798
1	0.6842006358
2	0.6799367403
3	0.6756378481
4	0.6710461548
5	0.66666584
6	0.6625006684
7	0.6583285758
8	0.6541313235
9	0.6500901446
10	0.6460265235
11	0.6421071469
12	0.6382049671
13	0.6344595421
14	0.6306743879
15	0.6269692235
16	0.6234222983
17	0.6197906563
18	0.6162452979
19	0.6127949545
20	0.6095284946
21	0.6061288792
22	0.602832022
23	0.5997560529
24	0.5965935124
25	0.5935768696
26	0.5904985156
27	0.5874861537
28	0.58454156
29	0.5816467638
30	0.5787838312
31	0.5760558499
32	0.5733169389
33	0.5706135358
34	0.5679643099
35	0.5653696828
36	0.5627450844
37	0.5601527475
38	0.557600278
39	0.5551294425
40	0.5527120946
41	0.5502253503
42	0.5478241479
43	0.5454689735
44	0.5432191522
45	0.5410021415
46	0.5387012527
47	0.5365803711
48	0.5344215438
49	0.5322505827
