iter	MultiClass
0	0.6885441906
1	0.6841671737
2	0.6797560313
3	0.6755382471
4	0.6715627513
5	0.6673747001
6	0.6633390856
7	0.6594086297
8	0.6554712054
9	0.6516566269
10	0.6480198609
11	0.6443636876
12	0.6406998236
13	0.6371583071
14	0.6337004511
15	0.6303061817
16	0.6268530377
17	0.6235028836
18	0.6199965371
19	0.6164688379
20	0.6131608299
21	0.6098719687
22	0.6065908396
23	0.603326
24	0.6000308549
25	0.5969205626
26	0.593854921
27	0.5908267892
28	0.5877869089
29	0.5848412856
30	0.5819135396
31	0.5790743714
32	0.5762450818
33	0.5734785175
34	0.5708374872
35	0.5681118736
36	0.5654485588
37	0.5628312354
38	0.5602638413
39	0.5577175004
40	0.5552201136
41	0.5527665328
42	0.5503849242
43	0.5480618863
44	0.5457037268
45	0.5434410508
46	0.5411775411
47	0.538986529
48	0.5368344383
49	0.5346167887
