iter	MultiClass
0	0.6885803424
1	0.6842147499
2	0.6799566703
3	0.6757675182
4	0.6712982131
5	0.6669355683
6	0.6628477977
7	0.6587808748
8	0.6545657104
9	0.6504653803
10	0.6464239569
11	0.6424329854
12	0.6385361668
13	0.6347562188
14	0.6309891183
15	0.6273031125
16	0.623779246
17	0.6201705619
18	0.6167581732
19	0.6133533179
20	0.6099745442
21	0.6067903043
22	0.6036038648
23	0.6005675952
24	0.5974016474
25	0.5943751826
26	0.5913336971
27	0.5883278145
28	0.5854257541
29	0.582536718
30	0.5796825922
31	0.5769668599
32	0.5742814751
33	0.5715764872
34	0.5689514397
35	0.566383641
36	0.5637685581
37	0.5611901502
38	0.5587438848
39	0.5562703451
40	0.5538282482
41	0.5513543078
42	0.5489673188
43	0.5466597607
44	0.5443229949
45	0.5419763865
46	0.5398257456
47	0.5376725835
48	0.5354984765
49	0.5332822971
