iter	MultiClass
0	0.6884876561
1	0.6840528491
2	0.6797213377
3	0.6753630538
4	0.6712639543
5	0.6670251873
6	0.6629508024
7	0.6589682874
8	0.6550010566
9	0.6511318221
10	0.6472750169
11	0.6435706408
12	0.6398615493
13	0.6362195453
14	0.6326721955
15	0.6292039061
16	0.6257223352
17	0.6224646076
18	0.6192378116
19	0.6159117198
20	0.612673777
21	0.6096491147
22	0.6062848917
23	0.6029959626
24	0.5997814055
25	0.5966551326
26	0.5934419147
27	0.5902863705
28	0.5872918236
29	0.5843780518
30	0.5814320027
31	0.5784741201
32	0.5756101562
33	0.5728843672
34	0.570238951
35	0.5674861749
36	0.56473279
37	0.5620219842
38	0.559357749
39	0.5567508077
40	0.5542442184
41	0.5517521935
42	0.549307909
43	0.5468821934
44	0.5445384117
45	0.5422161429
46	0.5399663596
47	0.5377256196
48	0.53547054
49	0.5332442543
